society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
bptp terra,1.0,sector 37d,821.0,12173.0,Super Built up area 2191(203.55 sq.m.),4,3,3,12.0,North,Relatively New,,2191.0,,,1,0,0,0,0,2,144,3043.25
paras quartier,5.0,gwal pahari,1103.0,45339.0,Super Built up area 5350(497.03 sq.m.),4,4,3+,19.0,East,New Property,,5350.0,,,1,1,1,1,0,2,160,11334.75
viridian the plaza 106,0.03,sector 106,557.0,539.0,Super Built up area 700(65.03 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),1,1,1,7.0,East,Relatively New,,700.0,,450.0,0,0,0,0,0,1,130,539.0
independent,1.39,sector 28,11583.0,1200.0,Plot area 540(50.17 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,1,3.0,North-East,Old Property,house,,1450.0,1200.0,0,0,1,0,0,1,37,600.0
experion windchants,5.0,sector 112,1158.0,43163.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,5,3+,5.0,South,Relatively New,,4739.0,3655.35,,0,1,0,0,0,2,168,10790.75
bptp terra,1.0,sector 37d,950.0,10530.0,Super Built up area 1811(168.25 sq.m.)Carpet area: 996.3 sq.ft. (92.56 sq.m.),3,3,3,9.0,South,Relatively New,,1811.0,,996.3,1,0,0,0,0,2,24,3510.0
independent,0.4,sector 3 phase 2,8000.0,500.0,Built Up area: 500 (46.45 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,1,0,1.0,South,Undefined,house,,500.0,300.0,0,0,0,0,0,1,0,250.0
independent,8.0,sector 56,9654.0,8287.0,Plot area 362(33.63 sq.m.)Built Up area: 8286 sq.ft. (769.79 sq.m.),10,10,3+,4.0,,Relatively New,house,,8286.0,,1,1,0,1,0,0,107,828.7
prime habitat,0.02,sector 99a,604.0,331.0,Carpet area: 448 (41.62 sq.m.),2,2,1,10.0,South,Relatively New,,,,448.0,0,0,0,0,0,1,67,165.5
adani brahma samsara vilasa,3.0,sector 63,1667.0,18001.0,Carpet area: 1800 (167.23 sq.m.),3,3,3,3.0,East,New Property,,,,1800.0,0,0,0,0,0,1,24,6000.333333333333
palam vihar extension west zone rwa,0.02,sector 2,400.0,500.0,Carpet area: 500 (46.45 sq.m.),1,1,1,1.0,,Moderately Old,,,,500.0,0,0,0,0,1,1,0,500.0
ss the leaf,2.0,sector 85,830.0,24082.0,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,East,Relatively New,,2408.0,,,0,1,0,0,0,1,21,8027.333333333333
tulip violet,1.0,sector 69,887.0,11273.0,Super Built up area 1578(146.6 sq.m.),3,3,2,11.0,North,Relatively New,,1578.0,,,0,0,0,1,0,1,126,3757.6666666666665
tata primanti,3.0,sector 72,1325.0,22636.0,Super Built up area 2905(269.88 sq.m.),4,5,3+,13.0,North,Relatively New,,2905.0,,,0,1,0,0,0,2,174,5659.0
indiabulls enigma,3.0,sector 110,1026.0,29228.0,Super Built up area 3400(315.87 sq.m.),4,5,3,7.0,North-West,Relatively New,,3400.0,,,0,1,0,0,0,1,165,7307.0
independent,3.5,sector 9,13410.0,2610.0,Plot area 290(242.48 sq.m.),9,9,3+,3.0,North-East,Relatively New,house,,2610.0,,1,0,0,0,0,1,23,290.0
vatika independent floors,0.06,sector 82,583.0,1030.0,Built Up area: 1150 (106.84 sq.m.),2,2,3,2.0,,Moderately Old,,,1150.0,,0,0,0,0,0,1,53,515.0
independent,0.53,sector 7,5889.0,900.0,Built Up area: 900 (83.61 sq.m.),2,2,0,1.0,,Undefined,house,,900.0,,0,0,0,0,0,1,0,450.0
independent,5.1,sector 23,16569.0,3078.0,Plot area 342(285.96 sq.m.)Built Up area: 125 sq.yards (104.52 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),3,2,0,1.0,East,Old Property,house,,125.0,100.0,0,0,0,0,1,1,27,1026.0
signature global the millennia,0.06,sector 37d,1091.0,550.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596 sq.ft. (55.37 sq.m.),2,2,3,0.0,,New Property,,650.0,,596.0,0,0,0,0,0,1,40,275.0
ats tourmaline,1.0,sector 109,814.0,12287.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,9.0,North-East,Relatively New,,2150.0,,,0,1,0,0,0,1,94,4095.6666666666665
microtek greenburg,1.0,sector 86,831.0,12034.0,Super Built up area 1480(137.5 sq.m.),2,2,3,13.0,South,Relatively New,,1480.0,,,1,0,0,0,0,1,6,6017.0
orchid island,0.07,sector 51,789.0,887.0,Carpet area: 906 (84.17 sq.m.),2,2,1,4.0,,Relatively New,,,,906.0,0,0,0,0,0,1,23,443.5
smart world gems,0.08,sector 89,780.0,1026.0,Carpet area: 1103 (102.47 sq.m.),2,3,2,4.0,North-East,New Property,,,,1103.0,1,1,0,1,0,2,72,513.0
sidhartha ncr one,0.05,sector 95,556.0,900.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15.0,North-East,Undefined,,,990.0,950.0,0,0,0,0,0,1,0,450.0
experion windchants,5.0,sector 112,1153.0,43369.0,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately Old,,4857.0,3662.34,,0,1,0,0,0,2,157,10842.25
emaar mgf palm hills,1.0,sector 77,950.0,10526.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1218.03 sq.ft. (113.16 sq.m.),3,4,3+,6.0,South-West,New Property,,2000.0,,1218.03,0,1,0,0,0,2,42,3508.6666666666665
siddhi vinayak apartments,1.0,sector 55,960.0,10417.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,6.0,South,Moderately Old,,1850.0,1700.0,1500.0,0,0,0,0,1,2,47,3472.3333333333335
signature global city 92,0.07,sector 92,805.0,870.0,Super Built up area 1197(111.2 sq.m.),2,2,2,2.0,,New Property,,1197.0,,,0,0,0,0,0,2,47,435.0
ardee city,1.0,sector 52,738.0,13548.0,Built Up area: 2100 (195.1 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,4,3,1.0,,Moderately Old,,,2100.0,1600.0,0,0,0,0,0,1,0,3387.0
independent,10.5,sector 25,29022.0,3618.0,Plot area 402(336.12 sq.m.),5,5,3,3.0,East,Moderately Old,house,,3618.0,,1,1,0,1,0,1,42,723.6
rof ananda,0.03,sector 95,589.0,509.0,Carpet area: 644.12 (59.84 sq.m.),2,2,2,5.0,,Relatively New,,,,644.12,1,0,0,0,0,1,83,254.5
suncity avenue,0.04,sector 102,903.0,443.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,North-East,Relatively New,,632.0,,532.0,0,0,1,0,0,1,159,221.5
dlf new town heights,1.0,sector 90,864.0,11577.0,Carpet area: 1447 (134.43 sq.m.),3,4,3+,0.0,North-West,Old Property,,,,1447.0,0,1,0,0,0,0,31,3859.0
unitech espace,11.0,sector 50,40741.0,2700.0,Plot area 360(301.01 sq.m.)Built Up area: 361 sq.yards (301.84 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,4,3+,2.0,North,Moderately Old,house,,361.0,300.0,0,1,0,0,0,2,88,675.0
dlf city plots,12.5,sector 26,38580.0,3240.0,Plot area 360(301.01 sq.m.),4,5,2,2.0,North-East,Moderately Old,house,,3240.0,,1,1,0,0,0,2,121,810.0
shree vardhman flora,0.06,sector 90,508.0,1182.0,Super Built up area 1300(120.77 sq.m.)Carpet area: 960 sq.ft. (89.19 sq.m.),2,2,3,4.0,North-East,Relatively New,,1300.0,,960.0,1,0,0,0,0,1,119,591.0
vatika lifestyle homes,1.0,sector 83,821.0,12174.0,Super Built up area 1832(170.2 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,1,7.0,South-West,Moderately Old,,1832.0,,1400.0,0,0,0,0,0,2,95,4058.0
independent,7.3,sector 25,1560.0,46795.0,Plot area 215(179.77 sq.m.)Built Up area: 5800 sq.yards (4849.54 sq.m.)Carpet area: 5200 sq.yards (4347.86 sq.m.),9,9,2,3.0,North-West,Relatively New,house,,5800.0,5200.0,0,1,1,0,0,2,109,5199.444444444444
ramprastha primera,1.0,sector 37d,611.0,16364.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,6.0,North-West,Relatively New,,1800.0,1700.0,1600.0,0,0,0,0,0,1,149,5454.666666666667
bptp astaire gardens,1.04,sector 70a,7172.0,1450.0,Carpet area: 1450 (134.71 sq.m.),3,3,3+,2.0,North-East,Relatively New,house,,,1450.0,0,0,0,0,1,2,145,483.3333333333333
bestech park view grand spa,2.0,sector 81,883.0,22640.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2356 sq.ft. (218.88 sq.m.),3,4,3+,6.0,North-East,Relatively New,,2660.0,,2356.0,0,1,0,0,0,2,101,7546.666666666667
