society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
central park flower valley,1.0,sohna road road,1744.0,5734.0,Carpet area: 946 (87.89 sq.m.),3,3,0,1.0,,Undefined,,,,946.0,0,0,0,0,0,1,66,1911.3333333333333
m3m heights,2.0,sector 65,1520.0,13158.0,Super Built up area 1828(169.83 sq.m.),3,3,3,44.0,,Undefined,,1828.0,,,0,0,0,0,0,1,56,4386.0
rof ananda,0.02,sector 95,658.0,304.0,Super Built up area 380(35.3 sq.m.),1,1,1,4.0,,New Property,,380.0,,,0,0,0,0,0,1,0,304.0
rof ananda,0.05,sector 95,853.0,586.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14.0,East,New Property,,1000.0,,645.0,1,0,0,0,0,2,81,195.33333333333334
eldeco accolade,1.0,sohna road,614.0,16297.0,Carpet area: 2200 (204.39 sq.m.),3,3,3,2.0,,New Property,,,,2200.0,0,1,0,0,0,1,72,5432.333333333333
ats tourmaline,2.0,sector 109,937.0,21356.0,Super Built up area 3150(292.64 sq.m.),4,5,3+,10.0,North-East,Relatively New,,3150.0,,,0,1,0,0,0,1,101,5339.0
paras dews,1.0,sector 106,682.0,14667.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,9.0,North-East,Relatively New,,1760.0,1186.0,1130.0,0,1,0,0,0,1,174,4889.0
signature global park,0.05,sohna road,681.0,734.0,Carpet area: 822 (76.37 sq.m.),2,2,3,3.0,South,New Property,,,,822.0,0,0,0,0,0,1,81,367.0
signature global park,0.07,sohna road,640.0,1093.0,Carpet area: 1210 (112.41 sq.m.),3,3,3,1.0,South-East,Relatively New,,,,1210.0,0,0,0,1,0,1,150,364.3333333333333
lotus homz,0.05,sector 111,1484.0,337.0,Carpet area: 336.96 (31.3 sq.m.),1,1,1,2.0,,Relatively New,,,,336.96,0,0,0,0,0,0,72,337.0
godrej,1.0,sector 79,827.0,12093.0,Super Built up area 1572(146.04 sq.m.),2,2,3,3.0,North-East,New Property,,1572.0,,,1,0,0,0,0,1,49,6046.5
dlf the skycourt,1.0,sector 86,892.0,11216.0,Super Built up area 1929(179.21 sq.m.),3,3,1,8.0,North,Relatively New,,1929.0,,,0,0,0,0,1,2,49,3738.6666666666665
ansal sushant residency,1.0,sector 57,678.0,14760.0,Carpet area: 246 (205.69 sq.m.),3,2,3+,1.0,,Moderately Old,,,,246.0,0,0,0,0,0,1,87,4920.0
chd avenue,1.0,sector 71,666.0,15026.0,Super Built up area 1743(161.93 sq.m.),3,3,3,5.0,South-West,Moderately Old,,1743.0,,,0,1,0,0,0,2,73,5008.666666666667
shapoorji pallonji joyville gurugram,1.0,sector 102,1004.0,9959.0,Super Built up area 1215(112.88 sq.m.),2,2,2,10.0,North,Relatively New,,1215.0,,,0,0,0,0,0,1,108,4979.5
independent,2.15,sector 40,23889.0,900.0,Plot area 100(83.61 sq.m.),3,3,3,3.0,,Moderately Old,house,,900.0,,1,0,1,1,0,1,45,300.0
independent,1.7,sector 39,17989.0,945.0,Plot area 900(83.61 sq.m.),2,2,3+,3.0,,Moderately Old,house,,900.0,,0,1,1,0,0,1,45,472.5
godrej nature plus,1.0,sector 33,903.0,11080.0,Built Up area: 1385 (128.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,17.0,,Undefined,,,1385.0,1000.0,0,0,0,0,0,1,56,5540.0
signature global the millennia 3,0.05,sector 37d,714.0,700.0,Carpet area: 700 (65.03 sq.m.),3,3,2,2.0,,Under Construction,,,,700.0,0,0,0,0,0,1,31,233.33333333333334
vatika emilia floors,0.06,sector 83,619.0,969.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2,2,2,1.0,South,Relatively New,,1050.0,950.0,850.0,0,0,0,0,0,2,174,484.5
international city by sobha phase 1,5.75,sector 109,16429.0,3500.0,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,2,3.0,South-East,Relatively New,house,,4800.0,3500.0,0,1,0,0,0,1,146,875.0
independent,0.5,sector 105,5556.0,900.0,Built Up area: 100 (9.29 sq.m.),2,2,0,1.0,,Undefined,house,,100.0,,0,0,0,0,0,1,0,450.0
signature global park 4,1.0,sector 36,990.0,10101.0,Carpet area: 1010 (93.83 sq.m.),3,2,3,2.0,,New Property,,,,1010.0,0,0,0,0,0,1,128,3367.0
independent,4.75,sector 57,28788.0,1650.0,Plot area 1600(148.64 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3,2.0,North-West,Moderately Old,house,,1700.0,1650.0,0,0,1,0,0,2,96,550.0
independent,0.55,sector 105,10913.0,504.0,Built Up area: 56 (5.2 sq.m.),4,4,0,2.0,,Undefined,house,,56.0,,0,0,0,0,0,1,0,126.0
sobha city,2.0,sector 108,1448.0,13814.0,Super Built up area 2003(186.08 sq.m.),3,4,2,8.0,East,New Property,,2003.0,,,0,0,0,0,0,1,109,4604.666666666667
bestech park view sanskruti,1.0,sector 92,802.0,12469.0,Super Built up area 1995(185.34 sq.m.)Built Up area: 1615 sq.ft. (150.04 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3,4,3+,10.0,North-West,Relatively New,,1995.0,1615.0,1476.0,0,1,0,0,1,2,174,4156.333333333333
central park flower valley aqua front towers,1.0,sector 33,950.0,10524.0,Super Built up area 1789(166.2 sq.m.),3,3,3,12.0,,Under Construction,,1789.0,,,0,0,0,0,0,1,24,3508.0
irwo westend towers,0.06,sector 47,1205.0,498.0,Carpet area: 539 (50.07 sq.m.),1,1,2,3.0,,Old Property,,,,539.0,0,0,0,0,0,1,56,498.0
ats tourmaline,1.87,sector 109,8698.0,2150.0,Built Up area: 2150 (199.74 sq.m.),3,4,0,12.0,,Undefined,house,,2150.0,,0,0,0,0,0,1,0,716.6666666666666
tulip monsella,8.0,sector 53,2800.0,28571.0,Super Built up area 2940(273.13 sq.m.),3,4,3,8.0,,Under Construction,,2940.0,,,0,1,0,0,0,0,35,9523.666666666666
satya the hermitage,0.08,sector 103,552.0,1450.0,Built Up area: 1450 (134.71 sq.m.),2,2,0,10.0,,Undefined,,,1450.0,,0,0,0,0,0,1,61,725.0
godrej nature plus,1.0,sector 33,823.0,12149.0,Super Built up area 1640(152.36 sq.m.),3,2,3+,7.0,North-East,Under Construction,,1640.0,,,0,0,0,1,0,1,49,4049.6666666666665
independent,2.5,sector 37d,13158.0,1900.0,Plot area 1900(176.52 sq.m.),5,5,3+,2.0,,Relatively New,house,,1900.0,,0,0,0,0,0,1,0,380.0
lotus homz,0.06,sector 111,845.0,710.0,Carpet area: 710 (65.96 sq.m.),2,2,3,9.0,East,New Property,,,,710.0,0,0,0,0,0,1,52,355.0
chd avenue,1.0,sector 71,679.0,14728.0,Super Built up area 1620(150.5 sq.m.),3,3,3,11.0,,Relatively New,,1620.0,,,0,0,0,0,1,1,72,4909.333333333333
la vida by tata housing,1.0,sector 113,1176.0,8507.0,Carpet area: 1276 (118.54 sq.m.),2,2,2,13.0,,New Property,,,,1276.0,0,0,0,0,0,1,71,4253.5
umang winter hills,0.08,sector 77,641.0,1248.0,Super Built up area 1342(124.68 sq.m.),2,2,2,16.0,,New Property,,1342.0,,,0,0,0,0,0,2,79,624.0
aipl zen residences,1.0,sector 70a,1307.0,7649.0,Super Built up area 1262(117.24 sq.m.),2,2,3,23.0,North-West,New Property,,1262.0,,,0,0,0,0,0,1,81,3824.5
maruti kunj,0.08,sector 11,516.0,1550.0,Super Built up area 1550(144 sq.m.),3,2,0,0.0,,Old Property,,1550.0,,,0,0,0,0,0,1,8,516.6666666666666
vipul tatvam villa,5.5,sector 48,21219.0,2592.0,Plot area 288(240.8 sq.m.),3,6,2,2.0,North,Moderately Old,house,,2592.0,,0,1,0,0,1,2,106,864.0
mapsko casa bella,3.0,sector 82,613.0,48908.0,Super Built up area 4890(454.3 sq.m.),4,6,3+,25.0,West,Relatively New,,4890.0,,,0,1,0,1,0,2,119,12227.0
ashiana mulberry,0.09,sohna road,648.0,1388.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2,2,3+,3.0,,New Property,,1465.0,1175.97,834.96,1,0,0,0,0,1,89,694.0
emaar mgf marbella,15.1,sector 66,18605.0,8116.0,Plot area 754,5,5,3+,3.0,East,New Property,house,,8067.799999999999,,1,1,1,1,0,1,120,1623.2
ats marigold,1.0,sector 89,860.0,11623.0,Super Built up area 2150(199.74 sq.m.),3,3,3+,12.0,South-West,New Property,,2150.0,,,0,1,0,0,0,1,37,3874.3333333333335
signature global park,0.06,sohna road,554.0,1084.0,Super Built up area 1210(112.41 sq.m.),2,2,3,4.0,North-East,Relatively New,,1210.0,,,0,0,0,1,0,1,127,542.0
signature global park,0.05,sohna road,630.0,794.0,Carpet area: 845 (78.5 sq.m.),2,2,2,1.0,East,Relatively New,,,,845.0,0,0,0,1,0,1,168,397.0
tulip yellow,2.95,sector 69,16389.0,1800.0,Plot area 200(167.23 sq.m.),4,3,2,3.0,North,New Property,house,,1800.0,,0,0,0,1,1,0,111,450.0
independent,0.5,sector 6,8333.0,600.0,Plot area 600(55.74 sq.m.),3,3,2,2.0,East,Moderately Old,house,,600.0,,0,0,0,1,0,1,0,200.0
dlf regal gardens,1.0,sector 90,693.0,14438.0,Super Built up area 1747(162.3 sq.m.),3,3,3+,29.0,West,Relatively New,,1747.0,,,0,0,0,0,1,1,95,4812.666666666667
vatika gurgaon,0.09,sector 83,657.0,1369.0,Super Built up area 1445(134.24 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,5.0,South,Relatively New,,1445.0,1300.0,1200.0,0,0,0,0,0,2,96,684.5
sobha city,2.0,sector 108,1738.0,11509.0,Super Built up area 1381(128.3 sq.m.),2,2,2,14.0,,New Property,,1381.0,,,0,0,0,0,0,2,113,5754.5
aipl the peaceful homes,2.0,sector 70a,1070.0,18697.0,Super Built up area 2150(199.74 sq.m.),3,3,3,3.0,North-East,Relatively New,,2150.0,,,0,0,1,0,0,2,124,6232.333333333333
shree krishna homes,0.48,sector 104,5556.0,864.0,Plot area 80(7.43 sq.m.)Built Up area: 795 sq.ft. (73.86 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),2,2,1,1.0,North-East,New Property,house,,795.0,720.0,1,0,0,1,1,1,44,432.0
dlf new town heights,1.0,sector 86,658.0,15202.0,Super Built up area 2356(218.88 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,4,3+,12.0,North-East,Moderately Old,,2356.0,,1750.0,0,1,0,1,0,2,120,3800.5
vipul tatvam villa,7.69,sector 48,24069.0,3195.0,Plot area 355(296.83 sq.m.),4,5,3,2.0,North-West,Moderately Old,house,,3195.0,,1,1,1,1,0,2,110,798.75
beverley park 1,8.0,sector 43,1623.0,49291.0,Super Built up area 5200(483.1 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4900 sq.ft. (455.22 sq.m.),4,5,3,9.0,North-East,Moderately Old,,5200.0,5000.0,4900.0,0,1,0,0,0,0,117,12322.75
m3m merlin,2.0,sector 67,1368.0,14622.0,Super Built up area 2047(190.17 sq.m.)Carpet area: 1880 sq.ft. (174.66 sq.m.),3,3,3,5.0,North-East,Moderately Old,,2047.0,,1880.0,0,1,0,0,0,0,26,4874.0
conscient heritage max,2.0,sector 102,1038.0,19277.0,Super Built up area 2554(237.27 sq.m.),4,5,3+,17.0,North,Moderately Old,,2554.0,,,0,1,0,0,0,1,125,4819.25
bestech park view grand spa,2.0,sector 81,883.0,22640.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2354 sq.ft. (218.69 sq.m.),3,4,3+,10.0,North-West,Relatively New,,2660.0,,2354.0,0,1,0,0,0,1,109,7546.666666666667
avl 36 gurgaon,0.03,sector 36a,898.0,334.0,Super Built up area 406(37.72 sq.m.)Carpet area: 402 sq.ft. (37.35 sq.m.),1,1,1,7.0,West,Relatively New,,406.0,,402.0,0,0,0,0,0,1,95,334.0
dlf regal gardens,1.0,sector 90,902.0,11086.0,Super Built up area 1702(158.12 sq.m.)Built Up area: 1540 sq.ft. (143.07 sq.m.)Carpet area: 1430 sq.ft. (132.85 sq.m.),3,3,3,7.0,East,Relatively New,,1702.0,1540.0,1430.0,1,0,0,0,0,1,174,3695.3333333333335
unitech uniworld gardens,2.0,sector 47,1150.0,17384.0,Super Built up area 2086(193.8 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10.0,East,Moderately Old,,2086.0,,1750.0,0,1,0,0,0,1,103,5794.666666666667
emaar palm heights,1.0,sector 77,1167.0,8572.0,Super Built up area 2025(188.13 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,11.0,South-West,Relatively New,,2025.0,1900.0,1500.0,0,1,0,0,0,1,94,2857.3333333333335
godrej aria,1.0,sector 79,777.0,12867.0,Super Built up area 1351(125.51 sq.m.),2,2,3+,4.0,North-East,New Property,,1351.0,,,0,0,0,0,0,2,49,6433.5
ansal heights 86,1.0,sector 86,554.0,18047.0,Super Built up area 1895(176.05 sq.m.),3,3,3,9.0,North-East,Under Construction,,1895.0,,,0,1,0,0,0,1,0,6015.666666666667
independent,0.4,sector 2,7619.0,525.0,Carpet area: 525 (48.77 sq.m.),2,2,1,1.0,,Relatively New,house,,,525.0,0,0,0,0,0,1,0,262.5
signature global solera 2,0.03,sector 107,668.0,449.0,Carpet area: 553.85 (51.45 sq.m.),2,2,2,9.0,,New Property,,,,553.85,0,0,0,0,0,1,23,224.5
signature andour heights,0.06,sector 71,1017.0,590.0,Super Built up area 639(59.37 sq.m.)Carpet area: 542 sq.ft. (50.35 sq.m.),2,2,1,10.0,South-West,Relatively New,,639.0,,542.0,0,0,0,0,0,2,23,295.0
shree vardhman flora,0.06,sector 90,482.0,1246.0,Super Built up area 1350(125.42 sq.m.),2,2,3,3.0,North,Relatively New,,1350.0,,,1,0,0,0,0,1,106,623.0
bestech park view residency,1.0,sector 2,787.0,12708.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,7.0,South-West,Moderately Old,,1920.0,,,0,1,0,0,0,2,84,4236.0
emaar mgf marbella,18.0,sector 66,40000.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3+,3.0,North-East,Relatively New,house,,4500.0,,1,1,1,1,0,0,153,900.0
eldeco accolade,0.07,sohna road,617.0,1135.0,Super Built up area 1264(117.43 sq.m.),2,2,2,3.0,,Relatively New,,1264.0,,,0,0,0,0,0,1,72,567.5
ardee city,5.5,sector 52,20370.0,2700.0,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately Old,house,,300.0,,0,1,0,1,1,2,26,300.0
independent,1.5,sector 3 phase 3 extension,5000.0,3000.0,Built Up area: 3000 (278.71 sq.m.),6,1,0,1.0,,New Property,house,,3000.0,,0,0,0,0,0,1,0,500.0
independent,8.0,sector 57,29630.0,2700.0,Plot area 300(27.87 sq.m.),5,4,3,2.0,North,Relatively New,house,,300.0,,1,1,0,1,0,1,21,540.0
independent,7.25,sector 56,29340.0,2471.0,Plot area 303(253.35 sq.m.),8,8,3+,0.0,North-East,Moderately Old,house,,303.0,,0,0,0,0,0,2,24,308.875
independent,1.5,sector 67,8641.0,1736.0,Carpet area: 180 (150.5 sq.m.),5,3,2,2.0,,New Property,house,,,180.0,0,0,0,0,0,1,0,347.2
independent,2.7,sector 23,18621.0,1450.0,Plot area 1450(134.71 sq.m.),5,5,2,3.0,East,Old Property,house,,1450.0,,0,0,0,0,0,2,17,290.0
sare homes,1.0,sector 92,620.0,16129.0,Built Up area: 2040 (189.52 sq.m.),4,3,0,16.0,,Under Construction,,,2040.0,,0,0,0,0,0,1,49,4032.25
eldeco accolade,0.09,sohna road,618.0,1457.0,Super Built up area 1457(135.36 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,8.0,South,Under Construction,,1457.0,1050.0,849.0,1,0,0,0,1,1,72,728.5
ramprastha the edge towers,0.09,sector 37d,554.0,1626.0,Super Built up area 1770(164.44 sq.m.)Built Up area: 1675 sq.ft. (155.61 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,5.0,North-East,Relatively New,,1770.0,1675.0,1400.0,0,0,0,1,0,1,174,542.0
experion the heartsong,1.0,sector 108,824.0,12140.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1771.32 sq.ft. (164.56 sq.m.)Carpet area: 1302.01 sq.ft. (120.96 sq.m.),3,4,3,3.0,North-West,Moderately Old,,2003.0,1771.32,1302.01,1,0,0,0,0,2,75,4046.6666666666665
mapsko mount ville,1.0,sector 79,1384.0,7227.0,Super Built up area 1510(140.28 sq.m.)Carpet area: 867.24 sq.ft. (80.57 sq.m.),3,3,3,18.0,North,Relatively New,,1510.0,,867.24,1,0,0,1,0,2,160,2409.0
ambience lagoon,4.0,sector 24,1328.0,30118.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3156 sq.ft. (293.2 sq.m.),3,4,3+,3.0,East,Old Property,,3200.0,,3156.0,0,1,1,0,0,2,131,10039.333333333334
sare crescent parc,1.0,sector 92,513.0,19501.0,Carpet area: 1950 (181.16 sq.m.),4,3,2,1.0,East,Relatively New,,,,1950.0,0,0,0,0,0,1,49,4875.25
shree vardhman victoria,1.0,sector 70,769.0,13001.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,7.0,South,Relatively New,,1950.0,,1161.0,0,1,0,0,0,2,174,4333.666666666667
shapoorji pallonji joyville gurugram,2.0,sector 102,1200.0,16667.0,Super Built up area 1692(157.19 sq.m.)Carpet area: 1027.68 sq.ft. (95.47 sq.m.),3,3,2,1.0,,New Property,,1692.0,,1027.68,0,0,0,0,0,1,67,5555.666666666667
independent,10.85,sector 25,38150.0,2844.0,Plot area 316(264.22 sq.m.),6,6,1,3.0,North-East,Relatively New,house,,2844.0,,0,0,1,0,0,2,136,474.0
sare homes,1.0,sector 92,521.0,19205.0,Carpet area: 2266 (210.52 sq.m.),4,4,3,8.0,North,Relatively New,,,,2266.0,0,1,0,0,0,1,108,4801.25
mapsko mount ville,1.0,sector 79,839.0,11920.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,22.0,South-West,Relatively New,,1490.0,,863.91,1,0,0,1,0,1,160,3973.3333333333335
independent,1.15,sector 105,3285.0,3501.0,Carpet area: 3500 (325.16 sq.m.),3,2,1,1.0,,Undefined,house,,,3500.0,0,0,0,0,0,1,0,1167.0
godrej,2.0,sector 79,1114.0,17952.0,Built Up area: 2244 (208.47 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,5.0,,Undefined,,,2244.0,1800.0,0,0,0,0,0,1,0,5984.0
sushant lok 1 builder floors,1.95,sector 43,10078.0,1935.0,Plot area 215(179.77 sq.m.),3,4,3+,4.0,West,New Property,house,,1935.0,,0,1,0,0,0,2,78,645.0
signature global the millennia,0.05,sector 37d,917.0,545.0,Super Built up area 850(78.97 sq.m.)Built Up area: 610 sq.ft. (56.67 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,3,3.0,,New Property,,850.0,610.0,600.0,0,0,0,0,0,1,71,272.5
independent,11.58,sector 50,35741.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,,Moderately Old,house,,3240.0,,0,1,0,0,0,1,20,648.0
m3m skycity,3.0,sector 65,1641.0,18280.0,Super Built up area 1828(169.83 sq.m.),3,3,3,17.0,East,Under Construction,,1828.0,,,0,0,0,0,0,1,99,6093.333333333333
godrej nature plus,1.0,sector 33,1259.0,7942.0,Carpet area: 1350 (125.42 sq.m.),3,3,3+,6.0,,New Property,,,,1350.0,0,1,0,0,0,1,38,2647.3333333333335
pioneer araya,1.0,sector 62,1950.0,5128.0,Super Built up area 5514(512.27 sq.m.),5,7,3,10.0,North-East,Relatively New,,5514.0,,,0,1,0,0,0,2,153,1025.6
unitech uniworld gardens,2.0,sector 47,1031.0,19406.0,Super Built up area 2086(193.8 sq.m.)Built Up area: 1950 sq.ft. (181.16 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10.0,East,Moderately Old,,2086.0,1950.0,1750.0,0,1,0,0,0,1,49,6468.666666666667
emaar mgf emerald floors premier,2.0,sector 65,1468.0,13621.0,Carpet area: 1975 (183.48 sq.m.),4,4,0,0.0,North,Relatively New,,,,1975.0,0,0,1,0,0,1,50,3405.25
mahindra luminare,5.0,sector 59,1917.0,26078.0,Carpet area: 3025 (281.03 sq.m.),3,4,3,16.0,North-East,New Property,,,,3025.0,0,1,0,0,0,2,49,8692.666666666666
dlf regal gardens,1.0,sector 90,684.0,14626.0,Super Built up area 1755(163.04 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,15.0,South-West,Relatively New,,1755.0,,1400.0,0,0,0,0,0,1,118,4875.333333333333
orchid petals,4.0,sector 49,1163.0,34400.0,Super Built up area 4115(382.3 sq.m.),5,5,3+,14.0,South,Relatively New,,4115.0,,,1,1,0,1,0,1,49,6880.0
independent,1.0,sector 110,8795.0,1137.0,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),3,2,2,1.0,North,Old Property,house,,120.0,100.0,0,0,0,1,0,1,0,379.0
sare crescent parc,0.08,sector 92,603.0,1326.0,Carpet area: 1326 (123.19 sq.m.),3,2,2,3.0,North-East,Relatively New,,,,1326.0,0,0,0,0,0,1,15,442.0
emaar digihomes,2.0,sector 62,1392.0,14363.0,Super Built up area 1508(140.1 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,12.0,North-East,New Property,,1508.0,1500.0,1200.0,0,0,0,0,1,2,49,7181.5
adani m2k oyster grande,2.0,sector 102,782.0,25585.0,Super Built up area 3198(297.1 sq.m.),4,5,3+,5.0,South,Relatively New,,3198.0,,,0,1,0,0,0,1,76,6396.25
ramprastha primera,1.0,sector 37d,600.0,16667.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,9.0,South,Relatively New,,1800.0,1700.0,1600.0,0,0,0,0,0,1,158,5555.666666666667
orchid petals,4.0,sector 49,1098.0,36417.0,Super Built up area 4115(382.3 sq.m.),5,5,3+,14.0,West,Moderately Old,,4115.0,,,1,1,0,1,0,1,49,7283.4
tulip violet,1.0,sector 69,957.0,10450.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,2,0.0,West,Relatively New,,1578.0,,1100.0,0,0,0,1,0,0,165,3483.3333333333335
independent,0.75,sector 3 phase 3 extension,6410.0,1170.0,Built Up area: 130 (12.08 sq.m.),2,2,0,1.0,,Undefined,house,,130.0,,0,0,0,0,0,1,0,585.0
bptp terra,1.0,sector 37d,801.0,12491.0,Super Built up area 1811(168.25 sq.m.),3,3,3,9.0,North-East,Relatively New,,1811.0,,,0,0,0,0,0,1,107,4163.666666666667
ansals florence villa,3.3,sector 57,19820.0,1665.0,Plot area 185(154.68 sq.m.),4,3,3+,2.0,East,Moderately Old,house,,1665.0,,1,1,1,1,0,1,151,416.25
dlf regency park,2.0,sector 28,1370.0,14603.0,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,2,19.0,East,Old Property,,1777.0,1700.0,1650.0,0,1,0,0,0,1,158,4867.666666666667
uphaar residency 2,0.04,sector 105,560.0,714.0,Carpet area: 750 (69.68 sq.m.),3,2,1,0.0,East,Moderately Old,,,,750.0,0,0,0,0,1,1,7,238.0
dlf new town heights,1.0,sector 90,648.0,15442.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,6.0,West,Relatively New,,1930.0,1929.0,1928.0,0,1,0,1,0,1,136,5147.333333333333
independent,0.7,sector 12,4118.0,1700.0,Plot area 1700(157.94 sq.m.),4,4,1,2.0,,Moderately Old,house,,1700.0,,0,0,0,0,0,1,0,425.0
vatika city,2.0,sector 49,1177.0,16992.0,Super Built up area 2251.42(209.16 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.),3,4,3,11.0,East,Moderately Old,,2251.42,1750.75,,0,1,0,1,0,2,140,5664.0
tarc maceo,0.08,sector 91,634.0,1262.0,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,9.0,East,Relatively New,,1404.0,,1200.0,0,0,0,0,1,2,13,631.0
ardee city,1.0,sector 52,915.0,10934.0,Super Built up area 1640(152.36 sq.m.),4,4,3,3.0,,Old Property,,1640.0,,,0,0,0,0,0,1,65,2733.5
ansal harmony homes,1.0,sector 57,1067.0,9376.0,Super Built up area 1050(97.55 sq.m.),2,2,1,0.0,,Old Property,,1050.0,,,0,0,0,0,0,1,72,4688.0
nagata group housing society,0.08,sector 1,370.0,2165.0,Super Built up area 2300(213.68 sq.m.),3,3,3+,4.0,North,Relatively New,,2300.0,,,0,1,0,0,0,1,5,721.6666666666666
emaar palm gardens,1.0,sector 83,905.0,11047.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,4.0,South,Relatively New,,1900.0,1600.0,1240.04,0,1,0,0,0,2,165,3682.3333333333335
independent,11.0,sector 24,28902.0,3806.0,Plot area 3806.45(353.63 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.),8,11,3+,3.0,East,Old Property,house,,5000.0,,1,1,0,1,1,2,39,475.75
supertech araville,1.0,sector 79,654.0,15302.0,Carpet area: 1530 (142.14 sq.m.),2,2,3,4.0,,Relatively New,,,,1530.0,1,0,0,0,0,1,24,7651.0
shree vardhman flora,0.06,sector 90,482.0,1246.0,Super Built up area 1350(125.42 sq.m.),2,2,3,6.0,West,Relatively New,,1350.0,,,1,0,0,0,0,1,174,623.0
shapoorji pallonji joyville gurugram,1.0,sector 102,988.0,10126.0,Super Built up area 1215(112.88 sq.m.),2,2,2,0.0,East,Relatively New,,1215.0,,,0,0,0,0,0,1,79,5063.0
ireo uptown,4.0,sector 66,1300.0,30772.0,Super Built up area 3731(346.62 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3300 sq.ft. (306.58 sq.m.),4,4,3+,15.0,North,Relatively New,,3731.0,3500.0,3300.0,1,1,1,1,0,2,156,7693.0
signature global city 37d ph 2,1.0,sector 37d,824.0,12140.0,Carpet area: 1305 (121.24 sq.m.),3,3,2,2.0,North-East,Under Construction,,,,1305.0,0,0,0,0,0,1,86,4046.6666666666665
