society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
bestech park view city,2.0,sector 48,11713.0,17075.0,Super Built up area 2305(214.14 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,7.0,North-East,Relatively New,,2305.0,2000.0,1700.0,1,1,0,0,0,2,174
pareena coban residences,1.0,sector 99a,6159.0,16236.0,Super Built up area 1997(185.53 sq.m.),3,5,3,5.0,North-East,Relatively New,,1997.0,,,0,1,0,0,0,1,99
dlf regal gardens,1.0,sector 90,7945.0,12587.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2020 sq.ft. (187.66 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),4,4,3+,8.0,North,Relatively New,,2215.0,2020.0,1670.0,0,0,0,0,0,2,135
raheja vedaanta,0.08,sector 108,4080.0,1961.0,Super Built up area 1838(170.76 sq.m.),3,3,3,9.0,North-East,Relatively New,,1838.0,,,0,0,0,1,0,1,174
spectrum centre,0.06,sector 82a,9538.0,629.0,Built Up area: 650 (60.39 sq.m.),1,1,0,6.0,,Undefined,,,650.0,,0,0,0,0,0,1,0
mapsko paradise,0.07,sector 83,5597.0,1251.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3,3,3,10.0,North,New Property,,1340.0,,1000.0,0,0,0,0,1,2,49
unitech escape,12.0,sector 50,37037.0,3240.0,Carpet area: 360 (301.01 sq.m.),5,6,3+,3.0,East,Undefined,house,,,360.0,0,0,0,0,0,1,66
independent,4.49,sector 45,24455.0,1836.0,Plot area 204(170.57 sq.m.),9,9,3+,3.0,North-West,Moderately Old,house,,1836.0,,0,0,0,0,1,2,90
tulip monsella,7.0,sector 53,33198.0,21086.0,Carpet area: 2229 (207.08 sq.m.),4,4,3,21.0,,Under Construction,,,,2229.0,0,0,0,0,0,1,35
independent,0.55,sector 4,6813.0,807.0,Built Up area: 75,2,1,1,1.0,,Moderately Old,house,,75.0,,0,0,0,0,0,1,0
shree vardhman flora,0.07,sector 90,4615.0,1517.0,Super Built up area 1352(125.6 sq.m.),2,2,3,9.0,North-East,New Property,,1352.0,,,1,0,0,0,1,1,51
umang winter hills,1.0,sector 77,7500.0,13333.0,Carpet area: 1340 (124.49 sq.m.),2,2,2,3.0,,New Property,,,,1340.0,0,0,0,0,0,1,74
independent,9.5,sector 17,23457.0,4050.0,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 450 sq.yards (376.26 sq.m.),8,8,3,3.0,West,Relatively New,house,,500.0,450.0,1,0,0,0,0,2,27
chintamani,1.0,sector 103,8509.0,11752.0,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,1.0,North-East,Undefined,,,1845.0,1350.0,0,0,0,0,0,1,0
tulip violet,1.0,sector 69,8888.0,11251.0,Super Built up area 1350(125.42 sq.m.),2,3,1,0.0,North-West,Relatively New,,1350.0,,,0,0,0,0,0,1,150
tulip violet,1.0,sector 69,8907.0,11227.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12.0,North-East,Relatively New,,1538.0,,,0,0,0,0,0,1,116
dlf the icon,6.0,sector 43,26086.0,23001.0,Carpet area: 2300 (213.68 sq.m.),4,4,3+,18.0,North-East,Old Property,,,,2300.0,0,1,0,0,0,2,150
independent,23.0,sector 26,25556.0,9000.0,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,South-West,Relatively New,house,,9000.0,,1,1,1,1,0,2,145
ss the leaf,1.0,sector 85,6852.0,14594.0,Super Built up area 2408(223.71 sq.m.),3,4,3,9.0,,New Property,,2408.0,,,0,0,0,1,0,1,21
orris carnation residency,0.07,sector 85,4857.0,1441.0,Super Built up area 1645(152.83 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1275 sq.ft. (118.45 sq.m.),3,4,3,4.0,West,Relatively New,,1645.0,1390.0,1275.0,0,1,0,0,0,2,40
hcbs sports ville,0.02,sohna road,4345.0,460.0,Built Up area: 619 (57.51 sq.m.),2,2,2,10.0,,Relatively New,,,619.0,,0,0,0,0,0,1,43
prime habitat,0.02,sector 99a,5432.0,368.0,Carpet area: 497 (46.17 sq.m.),2,2,1,4.0,North-East,New Property,,,,497.0,0,0,0,0,0,1,7
shapoorji pallonji joyville gurugram,2.0,sector 102,16960.0,11792.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,,Relatively New,,,1852.0,1250.0,0,0,0,0,0,1,72
paras dews,1.0,sector 106,7419.0,13479.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,11.0,North-East,Relatively New,,1760.0,1650.0,1550.0,0,1,0,1,0,2,174
independent,7.0,sector 82,21605.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,1.0,North-East,Relatively New,house,,3240.0,,1,1,0,1,0,2,49
independent,5.0,sector 50,232.0,215517.0,Plot area 2(1011.71 sq.m.),6,5,3+,2.0,,New Property,house,,2.0,,1,1,0,1,1,2,0
smart world orchard,2.0,sector 61,15500.0,12903.0,Carpet area: 1640 (152.36 sq.m.),3,3,3,2.0,,Under Construction,,,,1640.0,0,0,1,0,0,1,16
independent,3.55,sector 46,24500.0,1449.0,Plot area 161(134.62 sq.m.),5,4,3+,3.0,North-West,Moderately Old,house,,1449.0,,0,1,0,0,0,2,73
independent,2.25,sector 13,6944.0,3240.0,Carpet area: 360 (301.01 sq.m.),10,10,2,1.0,East,Undefined,house,,,360.0,0,0,0,0,0,1,0
dlf alameda,17.0,sector 73,35109.0,4842.0,Plot area 4842(449.84 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),5,8,3,3.0,North-West,Relatively New,house,,9000.0,,1,1,1,1,0,0,87
bptp terra,1.0,sector 37d,8215.0,12173.0,Super Built up area 2191(203.55 sq.m.),4,3,3,12.0,North,Relatively New,,2191.0,,,1,0,0,0,0,2,144
paras quartier,5.0,gwal pahari,11028.0,45339.0,Super Built up area 5350(497.03 sq.m.),4,4,3+,19.0,East,New Property,,5350.0,,,1,1,1,1,0,2,160
viridian the plaza 106,0.03,sector 106,5571.0,539.0,Super Built up area 700(65.03 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),1,1,1,7.0,East,Relatively New,,700.0,,450.0,0,0,0,0,0,1,130
independent,1.39,sector 28,11583.0,1200.0,Plot area 540(50.17 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,1,3.0,North-East,Old Property,house,,1450.0,1200.0,0,0,1,0,0,1,37
experion windchants,5.0,sector 112,11584.0,43163.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,5,3+,5.0,South,Relatively New,,4739.0,3655.35,,0,1,0,0,0,2,168
bptp terra,1.0,sector 37d,9497.0,10530.0,Super Built up area 1811(168.25 sq.m.)Carpet area: 996.3 sq.ft. (92.56 sq.m.),3,3,3,9.0,South,Relatively New,,1811.0,,996.3,1,0,0,0,0,2,24
independent,0.4,sector 3 phase 2,8000.0,500.0,Built Up area: 500 (46.45 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,1,0,1.0,South,Undefined,house,,500.0,300.0,0,0,0,0,0,1,0
independent,8.0,sector 56,9654.0,8287.0,Plot area 362(33.63 sq.m.)Built Up area: 8286 sq.ft. (769.79 sq.m.),10,10,3+,4.0,,Relatively New,house,,8286.0,,1,1,0,1,0,0,107
prime habitat,0.02,sector 99a,6049.0,331.0,Carpet area: 448 (41.62 sq.m.),2,2,1,10.0,South,Relatively New,,,,448.0,0,0,0,0,0,1,67
adani brahma samsara vilasa,3.0,sector 63,16666.0,18001.0,Carpet area: 1800 (167.23 sq.m.),3,3,3,3.0,East,New Property,,,,1800.0,0,0,0,0,0,1,24
laxmi garden sector-11,1.5,sector 11,12820.0,1170.0,Plot area 130(108.7 sq.m.),12,9,1,3.0,East,Relatively New,house,,1170.0,,1,1,0,1,1,2,106
palam vihar extension west zone rwa,0.02,sector 2,4000.0,500.0,Carpet area: 500 (46.45 sq.m.),1,1,1,1.0,,Moderately Old,,,,500.0,0,0,0,0,1,1,0
ss the leaf,2.0,sector 85,8305.0,24082.0,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,East,Relatively New,,2408.0,,,0,1,0,0,0,1,21
tulip violet,1.0,sector 69,8871.0,11273.0,Super Built up area 1578(146.6 sq.m.),3,3,2,11.0,North,Relatively New,,1578.0,,,0,0,0,1,0,1,126
tata primanti,3.0,sector 72,13253.0,22636.0,Super Built up area 2905(269.88 sq.m.),4,5,3+,13.0,North,Relatively New,,2905.0,,,0,1,0,0,0,2,174
indiabulls enigma,3.0,sector 110,10264.0,29228.0,Super Built up area 3400(315.87 sq.m.),4,5,3,7.0,North-West,Relatively New,,3400.0,,,0,1,0,0,0,1,165
independent,3.5,sector 9,13410.0,2610.0,Plot area 290(242.48 sq.m.),9,9,3+,3.0,North-East,Relatively New,house,,2610.0,,1,0,0,0,0,1,23
vatika independent floors,0.06,sector 82,5826.0,1030.0,Built Up area: 1150 (106.84 sq.m.),2,2,3,2.0,,Moderately Old,,,1150.0,,0,0,0,0,0,1,53
independent,0.53,sector 7,5888.0,900.0,Built Up area: 900 (83.61 sq.m.),2,2,0,1.0,,Undefined,house,,900.0,,0,0,0,0,0,1,0
independent,5.1,sector 23,16569.0,3078.0,Plot area 342(285.96 sq.m.)Built Up area: 125 sq.yards (104.52 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),3,2,0,1.0,East,Old Property,house,,125.0,100.0,0,0,0,0,1,1,27
signature global the millennia,0.06,sector 37d,10906.0,550.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596 sq.ft. (55.37 sq.m.),2,2,3,0.0,,New Property,,650.0,,596.0,0,0,0,0,0,1,40
ats tourmaline,1.0,sector 109,8139.0,12287.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,9.0,North-East,Relatively New,,2150.0,,,0,1,0,0,0,1,94
microtek greenburg,1.0,sector 86,8310.0,12034.0,Super Built up area 1480(137.5 sq.m.),2,2,3,13.0,South,Relatively New,,1480.0,,,1,0,0,0,0,1,6
orchid island,0.07,sector 51,7891.0,887.0,Carpet area: 906 (84.17 sq.m.),2,2,1,4.0,,Relatively New,,,,906.0,0,0,0,0,0,1,23
smart world gems,0.08,sector 89,7796.0,1026.0,Carpet area: 1103 (102.47 sq.m.),2,3,2,4.0,North-East,New Property,,,,1103.0,1,1,0,1,0,2,72
sidhartha ncr one,0.05,sector 95,5556.0,900.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15.0,North-East,Undefined,,,990.0,950.0,0,0,0,0,0,1,0
experion windchants,5.0,sector 112,11529.0,43369.0,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately Old,,4857.0,3662.34,,0,1,0,0,0,2,157
emaar mgf palm hills,1.0,sector 77,9500.0,10526.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1218.03 sq.ft. (113.16 sq.m.),3,4,3+,6.0,South-West,New Property,,2000.0,,1218.03,0,1,0,0,0,2,42
siddhi vinayak apartments,1.0,sector 55,9600.0,10417.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,6.0,South,Moderately Old,,1850.0,1700.0,1500.0,0,0,0,0,1,2,47
signature global city 92,0.07,sector 92,8047.0,870.0,Super Built up area 1197(111.2 sq.m.),2,2,2,2.0,,New Property,,1197.0,,,0,0,0,0,0,2,47
ardee city,1.0,sector 52,7381.0,13548.0,Built Up area: 2100 (195.1 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,4,3,1.0,,Moderately Old,,,2100.0,1600.0,0,0,0,0,0,1,0
independent,10.5,sector 25,29022.0,3618.0,Plot area 402(336.12 sq.m.),5,5,3,3.0,East,Moderately Old,house,,3618.0,,1,1,0,1,0,1,42
emaar the palm springs,24.0,sector 54,600000.0,400.0,Plot area 400(37.16 sq.m.),5,5,2,1.0,North-East,Old Property,house,,400.0,,1,1,0,1,0,2,122
rof ananda,0.03,sector 95,5899.0,509.0,Carpet area: 644.12 (59.84 sq.m.),2,2,2,5.0,,Relatively New,,,,644.12,1,0,0,0,0,1,83
suncity avenue,0.04,sector 102,9022.0,443.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,North-East,Relatively New,,632.0,,532.0,0,0,1,0,0,1,159
dlf new town heights,1.0,sector 90,8638.0,11577.0,Carpet area: 1447 (134.43 sq.m.),3,4,3+,0.0,North-West,Old Property,,,,1447.0,0,1,0,0,0,0,31
unitech espace,11.0,sector 50,40741.0,2700.0,Plot area 360(301.01 sq.m.)Built Up area: 361 sq.yards (301.84 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,4,3+,2.0,North,Moderately Old,house,,361.0,300.0,0,1,0,0,0,2,88
dlf city plots,12.5,sector 26,38580.0,3240.0,Plot area 360(301.01 sq.m.),4,5,2,2.0,North-East,Moderately Old,house,,3240.0,,1,1,0,0,0,2,121
shree vardhman flora,0.06,sector 90,5076.0,1182.0,Super Built up area 1300(120.77 sq.m.)Carpet area: 960 sq.ft. (89.19 sq.m.),2,2,3,4.0,North-East,Relatively New,,1300.0,,960.0,1,0,0,0,0,1,119
vatika lifestyle homes,1.0,sector 83,8214.0,12174.0,Super Built up area 1832(170.2 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,1,7.0,South-West,Moderately Old,,1832.0,,1400.0,0,0,0,0,0,2,95
independent,7.3,sector 25,1560.0,46795.0,Plot area 215(179.77 sq.m.)Built Up area: 5800 sq.yards (4849.54 sq.m.)Carpet area: 5200 sq.yards (4347.86 sq.m.),9,9,2,3.0,North-West,Relatively New,house,,5800.0,5200.0,0,1,1,0,0,2,109
ramprastha primera,1.0,sector 37d,6111.0,16364.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,6.0,North-West,Relatively New,,1800.0,1700.0,1600.0,0,0,0,0,0,1,149
bptp astaire gardens,1.04,sector 70a,7172.0,1450.0,Carpet area: 1450 (134.71 sq.m.),3,3,3+,2.0,North-East,Relatively New,house,,,1450.0,0,0,0,0,1,2,145
bestech park view grand spa,2.0,sector 81,8834.0,22640.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2356 sq.ft. (218.88 sq.m.),3,4,3+,6.0,North-East,Relatively New,,2660.0,,2356.0,0,1,0,0,0,2,101
ireo the grand arch,3.0,sector 58,21577.0,13904.0,Super Built up area 2164(201.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1775 sq.ft. (164.9 sq.m.),3,4,2,10.0,North-East,Relatively New,,2164.0,2000.0,1775.0,1,1,0,0,0,2,174
shree vardhman flora,0.06,sector 90,4961.0,1209.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1225 sq.ft. (113.81 sq.m.)Carpet area: 1075 sq.ft. (99.87 sq.m.),2,2,3,11.0,North-West,Relatively New,,1300.0,1225.0,1075.0,1,0,0,0,0,2,49
pioneer araya,8.0,sector 62,19513.0,40998.0,Super Built up area 4279(397.53 sq.m.),4,6,3,16.0,East,Relatively New,,4279.0,,,0,1,0,1,0,1,153
ansal sushant lok plots,5.8,sector 43,29974.0,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,house,,1935.0,,0,1,0,0,1,2,49
parsvnath exotica,5.0,sector 53,17241.0,29001.0,Carpet area: 2900 (269.42 sq.m.),3,4,3,7.0,,Old Property,,,,2900.0,0,1,0,0,0,2,24
emaar mgf marbella,12.0,sector 66,38095.0,3150.0,Plot area 350(292.64 sq.m.),5,6,3+,3.0,North-East,Relatively New,house,,3150.0,,0,1,1,0,0,2,153
independent,1.0,sector 6,41666.0,240.0,Built Up area: 240 (22.3 sq.m.),6,4,0,3.0,,Undefined,house,,240.0,,0,0,0,0,0,1,0
signature global park,0.85,sohna road,7589.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3,2,2,1.0,,Under Construction,house,,1120.0,,0,0,0,0,0,1,15
mvn athens,0.02,sohna road,4666.0,429.0,Carpet area: 450 (41.81 sq.m.),1,1,1,11.0,,New Property,,,,450.0,0,0,0,0,0,1,16
spaze privvy the address,1.0,sector 93,8033.0,12449.0,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,2,12.0,North-East,Relatively New,,1805.0,1350.0,1100.0,0,0,0,0,0,2,96
divya apartments,0.06,sector 6,7594.0,790.0,Built Up area: 790 (73.39 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2,2,0,2.0,South-West,Relatively New,,,790.0,750.0,0,0,0,0,0,2,15
vatika gurgaon,1.0,sector 83,6313.0,15840.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12.0,North,Moderately Old,,1980.0,1700.0,1400.0,0,1,0,0,0,1,95
bptp astaire gardens,6.5,sector 70a,27871.0,2332.0,Plot area 299(250 sq.m.),4,4,3+,2.0,North-East,New Property,house,,299.0,,1,1,0,1,0,2,160
vipul world,1.0,sector 48,9482.0,10546.0,Carpet area: 1450 (134.71 sq.m.),3,3,1,2.0,,Relatively New,,,,1450.0,0,0,0,0,0,1,60
independent,5.25,sector 43,27132.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,,Old Property,house,,1935.0,,1,1,0,0,0,2,80
kamroon court,2.0,sector 43,13750.0,14545.0,Carpet area: 2000 (185.81 sq.m.),3,4,3+,5.0,North-East,Moderately Old,,,,2000.0,0,1,0,0,1,2,49
ireo skyon,3.0,sector 60,13392.0,22401.0,Super Built up area 2800(260.13 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),4,4,3,12.0,North,Relatively New,,2800.0,2650.0,2350.0,0,1,0,0,0,2,49
sare crescent parc,0.04,sector 92,4909.0,815.0,Carpet area: 998 (92.72 sq.m.),2,2,2,2.0,,Relatively New,,,,998.0,0,0,0,0,0,1,96
vatika lifestyle homes,1.0,sector 83,5982.0,16717.0,Super Built up area 1755(163.04 sq.m.),3,3,2,14.0,South-West,Relatively New,,1755.0,,,1,1,1,1,0,2,174
ansal florence super,3.75,sector 57,23148.0,1620.0,Plot area 180(150.5 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),3,4,3,2.0,,Moderately Old,house,,,300.0,1,1,1,0,0,2,38
la vida by tata housing,2.0,sector 113,12533.0,15958.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 2098 sq.ft. (194.91 sq.m.)Carpet area: 1859 sq.ft. (172.71 sq.m.),3,3,3,3.0,North,New Property,,2217.0,2098.0,1859.0,0,1,0,0,0,1,174
ireo victory valley,2.0,sector 67,11832.0,16903.0,Super Built up area 2527(234.77 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3,4.0,East,Relatively New,,2527.0,2200.0,2100.0,0,1,0,0,0,2,37
huda,3.5,sector 38,24005.0,1458.0,Plot area 162(135.45 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),3,2,3,2.0,East,Moderately Old,house,,161.0,160.0,0,0,1,0,0,2,85
godrej oasis,1.0,sector 88a,6679.0,14972.0,Carpet area: 2066 (191.94 sq.m.),3,3,3+,7.0,North,Relatively New,,,,2066.0,0,1,0,0,0,1,72
tulip violet,1.0,sector 69,10714.0,9334.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,8.0,North-East,Relatively New,,1578.0,,1400.0,0,0,0,1,0,2,174
m3m woodshire,1.0,sector 107,6141.0,16284.0,Super Built up area 2361(219.34 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,4,3+,7.0,South,Relatively New,,2361.0,1900.0,,0,1,0,0,0,1,67
shree vardhman victoria,1.0,sector 70,7948.0,12582.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8.0,South,Relatively New,,1950.0,,1161.0,0,1,0,0,0,1,174
alpha corp gurgaonone,2.0,sector 84,6406.0,31221.0,Super Built up area 3434(319.03 sq.m.),4,4,3+,15.0,South-West,Relatively New,,3434.0,,,0,1,0,0,0,1,97
conscient heritage max,2.0,sector 102,11633.0,17192.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,25.0,North-East,New Property,,2149.0,,,1,1,0,0,0,2,56
supertech basera,0.03,sector 79,7643.0,393.0,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2,2,1,4.0,,New Property,,,546.0,471.0,0,0,0,0,0,1,60
signature global solera,0.02,sector 107,5674.0,352.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively New,,,,489.0,0,0,0,0,0,1,45
mapsko mount ville,1.0,sector 79,8539.0,11711.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11.0,South-West,Relatively New,,1815.0,,1071.33,0,1,0,0,0,2,152
supertech araville,0.07,sector 79,6024.0,1162.0,Super Built up area 1295(120.31 sq.m.),2,2,3+,0.0,,New Property,,1295.0,,,0,0,0,0,1,1,74
puri diplomatic greens,3.0,sector 111,11525.0,26030.0,Super Built up area 2950(274.06 sq.m.),4,5,3+,14.0,East,Relatively New,,2950.0,,,0,1,0,0,0,2,94
tashee capital gateway,0.09,sector 111,6500.0,1385.0,Super Built up area 1478(137.31 sq.m.),2,2,1,4.0,North,Under Construction,,1478.0,,,1,0,0,0,0,1,53
independent,3.6,sector 57,20833.0,1728.0,Plot area 192(160.54 sq.m.),4,4,2,2.0,South,Old Property,house,,1728.0,,1,1,1,1,0,1,110
shree vardhman victoria,1.0,sector 70,9128.0,10955.0,Super Built up area 1950(181.16 sq.m.),3,3,3+,7.0,North-East,Relatively New,,1950.0,,,0,1,0,0,1,1,49
pareena mi casa,1.0,sector 68,8163.0,12250.0,Carpet area: 1225 (113.81 sq.m.),2,2,2,16.0,,New Property,,,,1225.0,0,1,0,0,0,1,65
dlf the ultima,2.0,sector 81,11412.0,17525.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,12.0,North-East,Relatively New,,2103.0,1650.0,1257.0,0,1,0,0,0,0,49
independent,2.5,sector 43,25960.0,963.0,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,house,,963.0,,0,0,0,0,1,0,20
dlf new town heights,1.0,sector 86,5942.0,16829.0,Super Built up area 2356(218.88 sq.m.),4,4,3+,20.0,South-East,Relatively New,,2356.0,,,0,1,0,1,0,1,65
smart world gems,0.08,sector 89,7963.0,1005.0,Carpet area: 1105 (102.66 sq.m.),2,2,3,2.0,,New Property,,,,1105.0,1,0,0,0,0,1,44
godrej icon,1.0,sector 88a,8100.0,12346.0,Super Built up area 1617(150.22 sq.m.),2,2,3+,3.0,North-West,Relatively New,,1617.0,,,1,0,0,0,0,1,102
emaar palm gardens,3.0,sector 83,8400.0,35714.0,Super Built up area 3750(348.39 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.)Carpet area: 2444.94 sq.ft. (227.14 sq.m.),5,7,3+,15.0,West,Relatively New,,3750.0,3200.0,2444.94,0,1,0,0,0,2,165
independent,0.7,sector 28,8101.0,864.0,Plot area 864(80.27 sq.m.),4,2,0,2.0,North,Old Property,house,,864.0,,0,0,0,0,0,1,7
independent,4.25,sector 46,23148.0,1836.0,Plot area 204(170.57 sq.m.),5,4,2,3.0,North-East,Moderately Old,house,,1836.0,,0,0,1,0,0,2,57
eldeco mansionz,6.4,sector 48,23704.0,2700.0,Plot area 365(305.19 sq.m.)Built Up area: 366 sq.yards (306.02 sq.m.),4,4,3,3.0,West,Moderately Old,house,,366.0,,0,1,1,0,0,2,151
tulip violet,2.0,sector 69,9950.0,20101.0,Super Built up area 2087(193.89 sq.m.),4,4,2,0.0,North-West,Relatively New,,2087.0,,,0,0,0,0,0,1,157
orchid petals,2.0,sector 49,11578.0,17274.0,Super Built up area 1805(167.69 sq.m.),3,3,3,0.0,South,Relatively New,,1805.0,,,0,0,0,0,0,1,49
