society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
independent,5.25,sector 43,27132.0,4,4,2,2.0,Old Property,house,1935.0,1,1,0,0,0,2,80
kamroon court,2.0,sector 43,1375.0,3,4,3+,5.0,Moderately Old,flat,2222.0,0,1,0,0,1,2,49
ireo skyon,3.0,sector 60,1339.0,4,4,3,12.0,Relatively New,flat,2650.0,0,1,0,0,0,2,49
sare crescent parc,0.04,sector 92,491.0,2,2,2,2.0,Relatively New,flat,1109.0,0,0,0,0,0,1,96
vatika lifestyle homes,1.0,sector 83,598.0,3,3,2,14.0,Relatively New,flat,1588.0,1,1,1,1,0,2,174
ansal florence super,3.75,sector 57,23148.0,3,4,3,2.0,Moderately Old,house,1620.0,1,1,1,0,0,2,38
la vida by tata housing,2.0,sector 113,1253.0,3,3,3,3.0,New Property,flat,2098.0,0,1,0,0,0,1,174
ireo victory valley,2.0,sector 67,1183.0,3,3,3,4.0,Relatively New,flat,2200.0,0,1,0,0,0,2,37
huda,3.5,sector 38,24005.0,3,2,3,2.0,Moderately Old,house,1458.0,0,0,1,0,0,2,85
godrej oasis,1.0,sector 88a,668.0,3,3,3+,7.0,Relatively New,flat,2296.0,0,1,0,0,0,1,72
tulip violet,1.0,sector 69,1071.0,3,3,2,8.0,Relatively New,flat,1492.0,0,0,0,1,0,2,174
m3m woodshire,1.0,sector 107,614.0,3,4,3+,7.0,Relatively New,flat,1900.0,0,1,0,0,0,1,67
shree vardhman victoria,1.0,sector 70,795.0,3,5,3,8.0,Relatively New,flat,1527.0,0,1,0,0,0,1,174
alpha corp gurgaonone,2.0,sector 84,641.0,4,4,3+,15.0,Relatively New,flat,3108.0,0,1,0,0,0,1,97
conscient heritage max,2.0,sector 102,1163.0,3,4,3+,25.0,New Property,flat,1945.0,1,1,0,0,0,2,56
supertech basera,0.03,sector 79,763.0,2,2,1,4.0,New Property,flat,546.0,0,0,0,0,0,1,60
signature global solera,0.02,sector 107,568.0,2,2,2,6.0,Relatively New,flat,543.0,0,0,0,0,0,1,45
mapsko mount ville,1.0,sector 79,854.0,3,4,3,11.0,Relatively New,flat,1416.0,0,1,0,0,0,2,152
supertech araville,0.07,sector 79,602.0,2,2,3+,0.0,New Property,flat,1172.0,0,0,0,0,1,1,74
puri diplomatic greens,3.0,sector 111,1153.0,4,5,3+,14.0,Relatively New,flat,2670.0,0,1,0,0,0,2,94
tashee capital gateway,0.09,sector 111,650.0,2,2,1,4.0,Under Construction,flat,1338.0,1,0,0,0,0,1,53
independent,3.6,sector 57,20833.0,4,4,2,2.0,Old Property,house,1728.0,1,1,1,1,0,1,110
shree vardhman victoria,1.0,sector 70,913.0,3,3,3+,7.0,Relatively New,flat,1765.0,0,1,0,0,1,1,49
pareena mi casa,1.0,sector 68,816.0,2,2,2,16.0,New Property,flat,1361.0,0,1,0,0,0,1,65
dlf the ultima,2.0,sector 81,1141.0,3,3,3+,12.0,Relatively New,flat,1650.0,0,1,0,0,0,0,49
independent,2.5,sector 43,2885.0,7,7,3,4.0,Relatively New,house,963.0,0,0,0,0,1,0,20
dlf new town heights,1.0,sector 86,594.0,4,4,3+,20.0,Relatively New,flat,2132.0,0,1,0,1,0,1,65
smart world gems,0.08,sector 89,796.0,2,2,3,2.0,New Property,flat,1228.0,1,0,0,0,0,1,44
godrej icon,1.0,sector 88a,810.0,2,2,3+,3.0,Relatively New,flat,1463.0,1,0,0,0,0,1,102
emaar palm gardens,3.0,sector 83,840.0,5,7,3+,15.0,Relatively New,flat,3200.0,0,1,0,0,0,2,165
independent,0.7,sector 28,8102.0,4,2,0,2.0,Old Property,house,864.0,0,0,0,0,0,1,7
independent,4.25,sector 46,23148.0,5,4,2,3.0,Moderately Old,house,1836.0,0,0,1,0,0,2,57
eldeco mansionz,6.4,sector 48,23704.0,4,4,3,3.0,Moderately Old,house,2700.0,0,1,1,0,0,2,151
tulip violet,2.0,sector 69,995.0,4,4,2,0.0,Relatively New,flat,1889.0,0,0,0,0,0,1,157
orchid petals,2.0,sector 49,1158.0,3,3,3,0.0,Relatively New,flat,1633.0,0,0,0,0,0,1,49
godrej habitat,1.0,sector 3,1041.0,2,2,2,14.0,Under Construction,flat,956.0,0,0,0,0,0,1,60
tulip violet,1.0,sector 69,945.0,4,4,2,0.0,Relatively New,flat,1819.0,0,0,0,0,0,1,49
hcbs sports ville,0.02,sohna road,401.0,2,2,2,3.0,Relatively New,flat,743.0,0,0,0,0,0,1,0
kiran residency,1.0,sector 56,775.0,3,3,3+,5.0,Old Property,flat,1800.0,0,1,0,1,1,1,166
m3m sky lofts,0.09,sector 71,1318.0,1,1,0,6.0,New Property,flat,683.0,0,0,0,0,0,1,77
independent,1.5,sector 13,10519.0,2,2,2,3.0,Old Property,house,1426.0,1,0,0,1,0,1,7
godrej,0.09,sector 33,686.0,2,2,3+,3.0,Under Construction,flat,1253.0,0,0,0,0,0,1,0
sushant lok 1 builder floors,2.0,sector 43,1292.0,3,3,2,2.0,New Property,flat,195.0,0,0,0,0,0,1,0
dlf new town heights,1.0,sector 86,648.0,3,4,3+,2.0,Relatively New,flat,1747.0,0,1,0,1,0,1,65
godrej oasis,1.0,sector 88a,690.0,2,2,3,7.0,Relatively New,flat,1611.0,1,0,0,0,0,1,72
unitech uniworld resorts,8.5,sector 33,17820.0,5,5,3+,3.0,New Property,house,4770.0,1,1,1,1,0,2,145
ashiana anmol,0.09,sohna road,946.0,2,2,2,13.0,Relatively New,flat,1105.0,0,0,0,0,0,0,120
rajendra park gurgaon,0.37,sector 105,10278.0,4,3,2,3.0,Relatively New,house,360.0,0,0,0,0,0,1,0
signature global park,0.05,sohna road,639.0,2,2,2,2.0,Relatively New,flat,913.0,0,0,0,1,0,1,168
independent,13.5,sector 26,29880.0,5,5,3+,2.0,Relatively New,house,4518.0,1,1,0,1,1,0,49
mvn athens,0.02,sohna road,590.0,2,2,1,0.0,Relatively New,flat,508.0,0,0,0,0,0,2,69
bptp terra,1.0,sector 37d,898.0,4,3,3,15.0,Relatively New,flat,1808.0,0,0,0,0,1,2,37
independent,6.75,sector 26,27778.0,3,3,3,2.0,Moderately Old,house,2430.0,0,0,0,0,0,1,27
shivpuri,2.4,sector 7,8889.0,10,5,3,2.0,Old Property,house,2700.0,1,1,0,1,0,1,8
railway officers rpf society,1.0,sector 9a,504.0,4,4,3+,9.0,Old Property,flat,2580.0,0,0,0,0,0,1,0
experion the heartsong,0.09,sector 108,701.0,2,3,3,2.0,Relatively New,flat,978.23,0,1,0,0,0,1,94
shapoorji pallonji joyville gurugram,0.09,sector 102,1038.0,2,2,2,14.0,Relatively New,flat,915.0,0,0,0,0,0,1,0
green court,0.04,sector 90,681.0,2,2,1,0.0,New Property,flat,767.0,0,0,0,0,0,1,49
