sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
50.0,7,7,3.0,3.0,1.0,963.0,0,0,0,0.0,2.0,2.5
98.0,4,4,4.0,3.0,0.0,2132.0,1,0,1,1.0,0.0,1.0
101.0,2,2,3.0,1.0,0.0,1228.0,0,0,1,0.0,1.0,0.08
99.0,2,2,4.0,3.0,0.0,1463.0,0,0,1,1.0,2.0,1.0
95.0,5,7,4.0,3.0,0.0,3200.0,1,0,2,2.0,0.0,3.0
33.0,4,2,0.0,2.0,1.0,864.0,0,0,1,0.0,1.0,0.7
52.0,5,4,2.0,0.0,1.0,1836.0,0,1,2,1.0,2.0,4.25
54.0,4,4,3.0,0.0,1.0,2700.0,1,1,2,2.0,2.0,6.4
78.0,4,4,2.0,3.0,0.0,1889.0,0,0,1,2.0,1.0,2.0
55.0,3,3,3.0,3.0,0.0,1633.0,0,0,1,0.0,1.0,2.0
34.0,2,2,2.0,4.0,0.0,956.0,0,0,1,1.0,0.0,1.0
78.0,4,4,2.0,3.0,0.0,1819.0,0,0,1,0.0,1.0,1.0
111.0,2,2,2.0,3.0,0.0,743.0,0,0,1,0.0,2.0,0.02
63.0,3,3,4.0,2.0,0.0,1800.0,1,0,1,2.0,2.0,1.0
82.0,1,1,0.0,1.0,0.0,683.0,0,0,1,1.0,2.0,0.09
19.0,2,2,2.0,2.0,1.0,1426.0,0,0,1,0.0,2.0,1.5
39.0,2,2,4.0,4.0,0.0,1253.0,0,0,1,0.0,2.0,0.09
50.0,3,3,2.0,1.0,0.0,195.0,0,0,1,0.0,1.0,2.0
98.0,3,4,4.0,3.0,0.0,1747.0,1,0,1,1.0,1.0,1.0
99.0,2,2,3.0,3.0,0.0,1611.0,0,0,1,1.0,2.0,1.0
39.0,5,5,4.0,1.0,1.0,4770.0,1,1,2,1.0,2.0,8.5
111.0,2,2,2.0,3.0,0.0,1105.0,0,0,0,1.0,0.0,0.09
7.0,4,3,2.0,3.0,1.0,360.0,0,0,1,0.0,2.0,0.37
111.0,2,2,2.0,3.0,0.0,913.0,0,0,1,2.0,1.0,0.05
31.0,5,5,4.0,3.0,1.0,4518.0,1,0,0,0.0,1.0,13.5
111.0,2,2,1.0,3.0,0.0,508.0,0,0,2,1.0,1.0,0.02
44.0,4,3,3.0,3.0,0.0,1808.0,0,0,2,0.0,0.0,1.0
31.0,3,3,3.0,0.0,1.0,2430.0,0,0,1,0.0,1.0,6.75
79.0,10,5,3.0,2.0,1.0,2700.0,1,0,1,0.0,1.0,2.4
110.0,4,4,4.0,2.0,0.0,2580.0,0,0,1,0.0,2.0,1.0
10.0,2,3,3.0,3.0,0.0,978.23,1,0,1,1.0,1.0,0.09
4.0,2,2,2.0,3.0,0.0,915.0,0,0,1,0.0,0.0,0.09
103.0,2,2,1.0,1.0,0.0,767.0,0,0,1,0.0,1.0,0.04
74.0,4,4,3.0,3.0,0.0,2501.0,1,0,1,0.0,2.0,2.0
92.0,2,2,2.0,0.0,0.0,985.0,0,0,1,1.0,0.0,0.06
50.0,3,3,2.0,2.0,0.0,1294.0,0,0,2,1.0,0.0,2.0
67.0,4,2,2.0,0.0,1.0,1600.0,0,0,1,0.0,1.0,0.4
43.0,2,2,0.0,4.0,0.0,1578.0,1,0,1,1.0,0.0,0.09
97.0,2,2,2.0,3.0,0.0,1190.0,1,1,1,1.0,2.0,1.0
